Date,ESc1
1997-09-09,934.25
1997-09-10,917.5
1997-09-11,908.75
1997-09-12,924.5
1997-09-15,921.0
1997-09-16,946.25
1997-09-17,943.75
1997-09-18,948.25
1997-09-19,960.25
1997-09-22,965.5
1997-09-23,961.75
1997-09-24,953.0
1997-09-25,946.5
1997-09-26,952.5
1997-09-29,962.25
1997-09-30,953.75
1997-10-01,964.5
1997-10-02,969.25
1997-10-03,974.5
1997-10-06,980.25
1997-10-07,990.25
1997-10-08,982.25
1997-10-09,978.25
1997-10-10,976.0
1997-10-13,976.25
1997-10-14,977.75
1997-10-15,974.0
1997-10-16,959.0
1997-10-17,950.75
1997-10-20,962.25
1997-10-21,979.0
1997-10-22,974.25
1997-10-23,956.25
1997-10-24,943.25
1997-10-27,874.0
1997-10-28,924.5
1997-10-29,923.0
1997-10-30,903.5
1997-10-31,922.5
1997-11-03,944.75
1997-11-04,943.75
1997-11-05,945.5
1997-11-06,942.5
1997-11-07,930.75
1997-11-10,924.75
1997-11-11,928.25
1997-11-12,907.25
1997-11-13,920.0
1997-11-14,931.25
1997-11-17,948.75
1997-11-18,942.75
1997-11-19,947.75
1997-11-20,963.0
1997-11-21,970.0
1997-11-24,949.25
1997-11-25,951.75
1997-11-26,955.5
1997-11-28,955.75
1997-12-01,979.75
1997-12-02,974.5
1997-12-03,977.5
1997-12-04,976.5
1997-12-05,987.25
1997-12-08,985.25
1997-12-09,979.0
1997-12-10,970.25
1997-12-11,954.0
1997-12-12,954.75
1997-12-15,963.0
1997-12-16,969.75
1997-12-17,965.25
1997-12-18,954.5
1997-12-19,957.5
1997-12-22,963.0
1997-12-23,945.75
1997-12-24,941.75
1997-12-26,945.75
1997-12-29,966.5
1997-12-30,979.5
1997-12-31,977.25
1998-01-02,984.5
1998-01-05,987.0
1998-01-06,971.0
1998-01-07,974.5
1998-01-08,961.0
1998-01-09,930.5
1998-01-12,946.0
1998-01-13,959.75
1998-01-14,963.5
1998-01-15,954.75
1998-01-16,968.5
1998-01-20,985.75
1998-01-21,975.5
1998-01-22,967.0
1998-01-23,963.5
1998-01-26,963.5
1998-01-27,973.5
1998-01-28,982.0
1998-01-29,987.0
1998-01-30,988.25
1998-02-02,1004.5
1998-02-03,1011.25
1998-02-04,1010.5
1998-02-05,1008.5
1998-02-06,1018.25
1998-02-09,1015.0
1998-02-10,1024.5
1998-02-11,1023.5
1998-02-12,1026.75
1998-02-13,1022.5
1998-02-17,1027.0
1998-02-18,1035.5
1998-02-19,1030.25
1998-02-20,1038.0
1998-02-23,1041.0
1998-02-24,1033.5
1998-02-25,1046.0
1998-02-26,1052.0
1998-02-27,1050.5
1998-03-02,1049.5
1998-03-03,1055.0
1998-03-04,1048.75
1998-03-05,1038.5
1998-03-06,1057.25
1998-03-09,1055.0
1998-03-10,1066.0
1998-03-11,1069.5
1998-03-12,1072.5
1998-03-13,1069.0
1998-03-16,1080.75
1998-03-17,1082.5
1998-03-18,1086.0
1998-03-19,1090.0
1998-03-20,1111.0
1998-03-23,1107.25
1998-03-24,1117.75
1998-03-25,1113.25
1998-03-26,1110.75
1998-03-27,1106.75
1998-03-30,1105.25
1998-03-31,1110.75
1998-04-01,1118.25
1998-04-02,1131.25
1998-04-03,1135.0
1998-04-06,1126.75
1998-04-07,1118.5
1998-04-08,1112.0
1998-04-09,1120.0
1998-04-13,1117.25
1998-04-14,1125.0
1998-04-15,1128.25
1998-04-16,1115.25
1998-04-17,1130.5
1998-04-20,1129.0
1998-04-21,1135.0
1998-04-22,1136.0
1998-04-23,1125.75
1998-04-24,1113.0
1998-04-27,1093.75
1998-04-28,1091.0
1998-04-29,1096.75
1998-04-30,1119.25
1998-05-01,1130.25
1998-05-04,1128.25
1998-05-05,1120.25
1998-05-06,1106.25
1998-05-07,1098.25
1998-05-08,1116.25
1998-05-11,1112.5
1998-05-12,1122.25
1998-05-13,1124.0
1998-05-14,1120.25
1998-05-15,1112.75
1998-05-18,1108.5
1998-05-19,1115.25
1998-05-20,1124.75
1998-05-21,1118.25
1998-05-22,1113.0
1998-05-26,1095.0
1998-05-27,1097.0
1998-05-28,1101.25
1998-05-29,1098.0
1998-06-01,1095.5
1998-06-02,1096.25
1998-06-03,1079.0
1998-06-04,1098.0
1998-06-05,1117.5
1998-06-08,1116.75
1998-06-09,1119.75
1998-06-10,1112.5
1998-06-11,1093.0
1998-06-12,1101.25
1998-06-15,1075.0
1998-06-16,1089.0
1998-06-17,1111.0
1998-06-18,1106.25
1998-06-19,1107.5
1998-06-22,1116.0
1998-06-23,1130.25
1998-06-24,1145.5
1998-06-25,1143.0
1998-06-26,1146.75
1998-06-29,1150.5
1998-06-30,1144.0
1998-07-01,1157.0
1998-07-02,1158.0
1998-07-06,1169.25
1998-07-07,1167.0
1998-07-08,1176.75
1998-07-09,1168.25
1998-07-10,1173.0
1998-07-13,1173.5
1998-07-14,1186.25
1998-07-15,1183.25
1998-07-16,1191.5
1998-07-17,1194.75
1998-07-20,1193.5
1998-07-21,1172.5
1998-07-22,1172.5
1998-07-23,1147.0
1998-07-24,1146.0
1998-07-27,1153.75
1998-07-28,1136.0
1998-07-29,1129.0
1998-07-30,1146.5
1998-07-31,1123.0
1998-08-03,1117.5
1998-08-04,1074.0
1998-08-05,1089.25
1998-08-06,1093.0
1998-08-07,1094.75
1998-08-10,1088.0
1998-08-11,1073.25
1998-08-12,1090.5
1998-08-13,1076.25
1998-08-14,1064.5
1998-08-17,1084.5
1998-08-18,1106.25
1998-08-19,1103.0
1998-08-20,1094.5
1998-08-21,1087.5
1998-08-24,1092.5
1998-08-25,1095.0
1998-08-26,1088.0
1998-08-27,1037.25
1998-08-28,1032.75
1998-08-31,954.25
1998-09-01,1000.0
1998-09-02,991.0
1998-09-03,985.75
1998-09-04,976.75
1998-09-08,1025.75
1998-09-09,1004.25
1998-09-10,972.25
1998-09-11,1014.0
1998-09-14,1029.5
1998-09-15,1036.0
1998-09-16,1048.0
1998-09-17,1020.5
1998-09-18,1018.75
1998-09-21,1032.0
1998-09-22,1039.0
1998-09-23,1078.5
1998-09-24,1051.0
1998-09-25,1051.25
1998-09-28,1062.25
1998-09-29,1058.0
1998-09-30,1024.5
1998-10-01,995.75
1998-10-02,1014.0
1998-10-05,994.75
1998-10-06,994.75
1998-10-07,979.25
1998-10-08,969.0
1998-10-09,991.0
1998-10-12,1004.25
1998-10-13,1003.5
1998-10-14,1011.0
1998-10-15,1063.0
1998-10-16,1066.25
1998-10-19,1069.0
1998-10-20,1071.5
1998-10-21,1075.0
1998-10-22,1085.75
1998-10-23,1074.25
1998-10-26,1080.5
1998-10-27,1074.0
1998-10-28,1070.5
1998-10-29,1096.75
1998-10-30,1106.0
1998-11-02,1121.25
1998-11-03,1113.75
1998-11-04,1124.0
1998-11-05,1141.25
1998-11-06,1148.25
1998-11-09,1136.0
1998-11-10,1129.5
1998-11-11,1126.5
1998-11-12,1124.0
1998-11-13,1134.0
1998-11-16,1142.0
1998-11-17,1143.25
1998-11-18,1150.0
1998-11-19,1158.25
1998-11-20,1167.25
1998-11-23,1194.0
1998-11-24,1186.0
1998-11-25,1187.75
1998-11-27,1195.0
1998-11-30,1162.25
1998-12-01,1174.75
1998-12-02,1172.25
1998-12-03,1152.5
1998-12-04,1180.0
1998-12-07,1188.0
1998-12-08,1181.25
1998-12-09,1184.5
1998-12-10,1166.25
1998-12-11,1164.0
1998-12-14,1137.0
1998-12-15,1162.5
1998-12-16,1162.75
1998-12-17,1183.0
1998-12-18,1180.75
1998-12-21,1214.25
1998-12-22,1216.5
1998-12-23,1243.25
1998-12-24,1239.0
1998-12-28,1233.75
1998-12-29,1254.5
1998-12-30,1242.0
1998-12-31,1245.75
1999-01-04,1241.0
1999-01-05,1253.25
1999-01-06,1280.5
1999-01-07,1277.5
1999-01-08,1288.0
1999-01-11,1273.75
1999-01-12,1250.75
1999-01-13,1240.0
1999-01-14,1219.0
1999-01-15,1247.0
1999-01-19,1257.5
1999-01-20,1268.0
1999-01-21,1235.0
1999-01-22,1232.5
1999-01-25,1244.0
1999-01-26,1265.25
1999-01-27,1249.75
1999-01-28,1265.0
1999-01-29,1281.25
1999-02-01,1274.5
1999-02-02,1265.75
1999-02-03,1279.25
1999-02-04,1258.5
1999-02-05,1243.75
1999-02-08,1247.5
1999-02-09,1219.0
1999-02-10,1226.0
1999-02-11,1263.0
1999-02-12,1237.75
1999-02-16,1242.75
1999-02-17,1229.25
1999-02-18,1238.5
1999-02-19,1244.0
1999-02-22,1274.5
1999-02-23,1275.5
1999-02-24,1252.25
1999-02-25,1241.25
1999-02-26,1235.75
1999-03-01,1239.0
1999-03-02,1229.25
1999-03-03,1234.0
1999-03-04,1250.25
1999-03-05,1279.5
1999-03-08,1283.75
1999-03-09,1279.0
1999-03-10,1289.0
1999-03-11,1305.5
1999-03-12,1291.25
1999-03-15,1306.5
1999-03-16,1307.0
1999-03-17,1298.0
1999-03-18,1321.5
1999-03-19,1307.75
1999-03-22,1312.0
1999-03-23,1271.75
1999-03-24,1280.0
1999-03-25,1303.5
1999-03-26,1296.5
1999-03-29,1316.75
1999-03-30,1314.75
1999-03-31,1294.0
1999-04-01,1303.75
1999-04-05,1332.75
1999-04-06,1330.25
1999-04-07,1338.75
1999-04-08,1355.5
1999-04-09,1358.5
1999-04-12,1372.0
1999-04-13,1362.25
1999-04-14,1339.0
1999-04-15,1332.0
1999-04-16,1323.75
1999-04-19,1302.0
1999-04-20,1315.25
1999-04-21,1352.0
1999-04-22,1369.0
1999-04-23,1365.0
1999-04-26,1370.5
1999-04-27,1374.75
1999-04-28,1358.0
1999-04-29,1349.25
1999-04-30,1336.0
1999-05-03,1359.25
1999-05-04,1341.0
1999-05-05,1351.5
1999-05-06,1340.75
1999-05-07,1351.75
1999-05-10,1346.25
1999-05-11,1358.25
1999-05-12,1368.5
1999-05-13,1374.25
1999-05-14,1339.5
1999-05-17,1343.0
1999-05-18,1341.0
1999-05-19,1349.5
1999-05-20,1342.5
1999-05-21,1334.75
1999-05-24,1311.5
1999-05-25,1285.5
1999-05-26,1304.75
1999-05-27,1285.75
1999-05-28,1296.5
1999-06-01,1295.75
1999-06-02,1295.5
1999-06-03,1305.0
1999-06-04,1329.25
1999-06-07,1332.5
1999-06-08,1320.0
1999-06-09,1318.75
1999-06-10,1307.25
1999-06-11,1296.0
1999-06-14,1295.75
1999-06-15,1303.5
1999-06-16,1329.5
1999-06-17,1342.75
1999-06-18,1338.0
1999-06-21,1362.0
1999-06-22,1350.0
1999-06-23,1343.0
1999-06-24,1331.25
1999-06-25,1330.75
1999-06-28,1344.5
1999-06-29,1359.5
1999-06-30,1380.5
1999-07-01,1392.5
1999-07-02,1405.25
1999-07-06,1402.75
1999-07-07,1403.75
1999-07-08,1405.25
1999-07-09,1414.75
1999-07-12,1409.25
1999-07-13,1403.5
1999-07-14,1409.25
1999-07-15,1420.0
1999-07-16,1428.25
1999-07-19,1418.5
1999-07-20,1386.75
1999-07-21,1385.25
1999-07-22,1367.0
1999-07-23,1363.5
1999-07-26,1354.75
1999-07-27,1364.5
1999-07-28,1368.75
1999-07-29,1349.25
1999-07-30,1331.5
1999-08-02,1336.25
1999-08-03,1329.0
1999-08-04,1309.0
1999-08-05,1321.5
1999-08-06,1305.75
1999-08-09,1302.5
1999-08-10,1290.5
1999-08-11,1305.75
1999-08-12,1303.75
1999-08-13,1333.5
1999-08-16,1338.5
1999-08-17,1348.0
1999-08-18,1334.25
1999-08-19,1327.0
1999-08-20,1342.0
1999-08-23,1366.0
1999-08-24,1367.5
1999-08-25,1385.0
1999-08-26,1367.0
1999-08-27,1351.75
1999-08-30,1326.25
1999-08-31,1319.75
1999-09-01,1334.0
1999-09-02,1320.0
1999-09-03,1363.25
1999-09-07,1351.75
1999-09-08,1346.0
1999-09-09,1346.5
1999-09-10,1354.0
1999-09-13,1346.5
1999-09-14,1336.75
1999-09-15,1316.75
1999-09-16,1318.25
1999-09-17,1324.0
1999-09-20,1348.5
1999-09-21,1321.25
1999-09-22,1321.25
1999-09-23,1291.25
1999-09-24,1289.25
1999-09-27,1296.25
1999-09-28,1293.75
1999-09-29,1279.5
1999-09-30,1295.0
1999-10-01,1294.25
1999-10-04,1319.0
1999-10-05,1315.25
1999-10-06,1335.25
1999-10-07,1329.75
1999-10-08,1347.25
1999-10-11,1346.25
1999-10-12,1326.25
1999-10-13,1291.5
1999-10-14,1290.75
1999-10-15,1256.5
1999-10-18,1264.25
1999-10-19,1270.25
1999-10-20,1295.5
1999-10-21,1295.0
1999-10-22,1307.25
1999-10-25,1301.25
1999-10-26,1285.0
1999-10-27,1306.0
1999-10-28,1350.5
1999-10-29,1376.25
1999-11-01,1362.25
1999-11-02,1352.25
1999-11-03,1360.5
1999-11-04,1369.25
1999-11-05,1384.0
1999-11-08,1384.0
1999-11-09,1371.25
1999-11-10,1380.5
1999-11-11,1387.75
1999-11-12,1402.75
1999-11-15,1403.25
1999-11-16,1431.25
1999-11-17,1419.0
1999-11-18,1428.5
1999-11-19,1428.0
1999-11-22,1426.75
1999-11-23,1412.25
1999-11-24,1421.25
1999-11-26,1414.75
1999-11-29,1411.0
1999-11-30,1391.75
1999-12-01,1402.75
1999-12-02,1412.0
1999-12-03,1437.75
1999-12-06,1426.0
1999-12-07,1414.75
1999-12-08,1405.0
1999-12-09,1411.0
1999-12-10,1416.75
1999-12-13,1417.0
1999-12-14,1405.25
1999-12-15,1409.0
1999-12-16,1418.25
1999-12-17,1425.0
1999-12-20,1435.25
1999-12-21,1454.5
1999-12-22,1458.25
1999-12-23,1480.25
1999-12-27,1478.5
1999-12-28,1478.25
1999-12-29,1483.0
1999-12-30,1480.75
1999-12-31,1485.0
2000-01-03,1466.75
2000-01-04,1411.5
2000-01-05,1413.0
2000-01-06,1404.75
2000-01-07,1459.75
2000-01-10,1474.25
2000-01-11,1454.0
2000-01-12,1441.5
2000-01-13,1459.0
2000-01-14,1478.5
2000-01-18,1469.25
2000-01-19,1472.5
2000-01-20,1456.25
2000-01-21,1454.25
2000-01-24,1412.75
2000-01-25,1419.0
2000-01-26,1416.0
2000-01-27,1410.75
2000-01-28,1367.0
2000-01-31,1400.75
2000-02-01,1416.75
2000-02-02,1414.25
2000-02-03,1435.75
2000-02-04,1431.25
2000-02-07,1427.0
2000-02-08,1445.75
2000-02-09,1418.5
2000-02-10,1418.5
2000-02-11,1396.0
2000-02-14,1398.25
2000-02-15,1409.25
2000-02-16,1392.75
2000-02-17,1385.5
2000-02-18,1354.0
2000-02-22,1348.5
2000-02-23,1364.0
2000-02-24,1355.5
2000-02-25,1337.75
2000-02-28,1348.5
2000-02-29,1372.0
2000-03-01,1384.5
2000-03-02,1385.0
2000-03-03,1410.5
2000-03-06,1395.0
2000-03-07,1351.75
2000-03-08,1366.0
2000-03-09,1404.0
2000-03-10,1399.0
2000-03-13,1383.75
2000-03-14,1359.5
2000-03-15,1395.0
2000-03-16,1463.75
2000-03-17,1455.0
2000-03-20,1478.0
2000-03-21,1507.75
2000-03-22,1518.0
2000-03-23,1544.0
2000-03-24,1555.5
2000-03-27,1539.0
2000-03-28,1529.25
2000-03-29,1530.0
2000-03-30,1504.5
2000-03-31,1517.5
2000-04-03,1528.5
2000-04-04,1518.25
2000-04-05,1504.75
2000-04-06,1516.5
2000-04-07,1529.5
2000-04-10,1521.0
2000-04-11,1517.75
2000-04-12,1476.0
2000-04-13,1456.0
2000-04-14,1367.25
2000-04-17,1413.5
2000-04-18,1452.5
2000-04-19,1440.5
2000-04-20,1446.75
2000-04-24,1437.5
2000-04-25,1489.5
2000-04-26,1474.0
2000-04-27,1468.0
2000-04-28,1460.5
2000-05-01,1476.75
2000-05-02,1451.5
2000-05-03,1422.5
2000-05-04,1423.5
2000-05-05,1440.0
2000-05-08,1430.75
2000-05-09,1419.25
2000-05-10,1388.75
2000-05-11,1415.5
2000-05-12,1431.25
2000-05-15,1457.5
2000-05-16,1471.75
2000-05-17,1456.75
2000-05-18,1441.75
2000-05-19,1415.5
2000-05-22,1404.5
2000-05-23,1382.5
2000-05-24,1402.25
2000-05-25,1389.25
2000-05-26,1382.25
2000-05-30,1427.25
2000-05-31,1422.0
2000-06-01,1451.75
2000-06-02,1475.5
2000-06-05,1472.0
2000-06-06,1461.5
2000-06-07,1472.5
2000-06-08,1465.5
2000-06-09,1461.0
2000-06-12,1447.5
2000-06-13,1471.5
2000-06-14,1475.0
2000-06-15,1473.75
2000-06-16,1478.0
2000-06-19,1505.25
2000-06-20,1498.75
2000-06-21,1498.75
2000-06-22,1476.25
2000-06-23,1464.0
2000-06-26,1478.25
2000-06-27,1470.25
2000-06-28,1472.25
2000-06-29,1459.25
2000-06-30,1470.5
2000-07-03,1490.5
2000-07-05,1463.0
2000-07-06,1474.0
2000-07-07,1494.5
2000-07-10,1491.75
2000-07-11,1495.0
2000-07-12,1505.75
2000-07-13,1510.5
2000-07-14,1524.0
2000-07-17,1522.25
2000-07-18,1512.25
2000-07-19,1500.5
2000-07-20,1516.25
2000-07-21,1488.75
2000-07-24,1480.75
2000-07-25,1484.75
2000-07-26,1470.0
2000-07-27,1463.5
2000-07-28,1431.25
2000-07-31,1438.75
2000-08-01,1447.25
2000-08-02,1452.5
2000-08-03,1462.0
2000-08-04,1471.5
2000-08-07,1486.5
2000-08-08,1492.5
2000-08-09,1480.5
2000-08-10,1473.25
2000-08-11,1478.75
2000-08-14,1498.25
2000-08-15,1494.75
2000-08-16,1491.75
2000-08-17,1503.5
2000-08-18,1500.5
2000-08-21,1507.0
2000-08-22,1507.25
2000-08-23,1510.0
2000-08-24,1515.0
2000-08-25,1513.0
2000-08-28,1519.0
2000-08-29,1517.5
2000-08-30,1503.75
2000-08-31,1521.75
2000-09-01,1523.25
2000-09-05,1512.0
2000-09-06,1494.25
2000-09-07,1507.25
2000-09-08,1496.75
2000-09-11,1490.0
2000-09-12,1481.75
2000-09-13,1484.5
2000-09-14,1482.25
2000-09-15,1479.0
2000-09-18,1467.5
2000-09-19,1478.5
2000-09-20,1469.5
2000-09-21,1469.25
2000-09-22,1468.5
2000-09-25,1460.25
2000-09-26,1443.25
2000-09-27,1445.75
2000-09-28,1476.0
2000-09-29,1454.0
2000-10-02,1456.0
2000-10-03,1439.25
2000-10-04,1450.5
2000-10-05,1455.0
2000-10-06,1425.0
2000-10-09,1416.5
2000-10-10,1391.0
2000-10-11,1378.5
2000-10-12,1344.0
2000-10-13,1386.25
2000-10-16,1392.0
2000-10-17,1360.0
2000-10-18,1368.75
